start,end,duration_min,peak_mm,mean_mm,duration
2022-01-02 16:59:33,2022-01-02 19:28:33,150,3726.695,3397.6489533333333,2h 30min
2022-01-02 19:30:33,2022-01-02 23:22:33,233,3734.115,3334.972583690987,3h 53min
2022-01-03 12:39:33,2022-01-03 17:37:33,299,3731.564,3357.6493177257526,4h 59min
2022-01-03 21:27:33,2022-01-03 21:27:33,1,3002.085,3002.085,1min
2022-01-03 21:29:33,2022-01-03 21:30:33,2,3004.636,3003.3605,2min
2022-01-03 21:32:33,2022-01-03 21:32:33,1,3006.955,3006.955,1min
2022-01-03 21:34:33,2022-01-03 22:21:33,48,3021.563,3011.607020833333,48min
2022-01-03 22:51:33,2022-01-04 01:44:33,174,3173.673,3100.3953793103447,2h 54min
2022-01-04 21:05:33,2022-01-04 23:38:33,154,3291.929,3171.9657857142856,2h 34min
2022-01-08 21:42:33,2022-01-09 03:05:33,324,3569.716,3326.2347314814815,5h 24min
2022-02-06 10:31:33,2022-02-06 16:09:33,339,3596.381,3344.435079646018,5h 39min
2022-02-06 19:06:33,2022-02-06 23:08:33,243,3485.313,3275.9271440329217,4h 3min
2022-02-06 23:10:33,2022-02-06 23:10:33,1,3004.636,3004.636,1min
2022-02-20 22:19:33,2022-02-21 00:47:33,149,3603.57,3337.8873355704695,2h 29min
2022-03-03 08:15:33,2022-03-03 08:16:33,2,3710.0,3703.855,2min
2022-04-25 16:10:33,2022-04-25 18:50:33,161,3369.376,3193.2068819875776,2h 41min
2022-05-19 11:03:33,2022-05-19 11:35:33,33,3717.188,3618.5780606060607,33min
2022-05-19 11:39:33,2022-05-19 15:18:33,220,3717.188,3404.0304227272727,3h 40min
2022-05-23 14:28:33,2022-05-23 17:55:33,208,3724.376,3340.623173076923,3h 28min
2022-05-23 17:58:33,2022-05-23 17:58:33,1,3002.085,3002.085,1min
2022-06-23 23:38:33,2022-06-24 03:00:33,203,3678.465,3379.104108374384,3h 23min
2022-06-24 03:02:33,2022-06-24 03:03:33,2,3002.085,3002.085,2min
2022-06-24 03:46:33,2022-06-24 05:03:33,78,3289.611,3162.9414615384617,1h 18min
2022-06-30 15:17:33,2022-06-30 17:47:33,151,3490.183,3277.6668278145694,2h 31min
2022-09-05 21:34:22,2022-09-05 22:00:22,27,3096.459,3057.134592592593,27min
2022-09-05 22:19:22,2022-09-05 23:57:22,99,3289.611,3167.7966565656566,1h 39min
2022-09-08 19:15:22,2022-09-08 21:50:22,156,3726.695,3416.7510064102567,2h 36min
2022-10-01 02:02:22,2022-10-01 05:07:22,186,3502.24,3274.4128763440863,3h 6min
