start,end,duration_min,peak_mm,mean_mm,duration
2022-01-02 16:59:33,2022-01-02 23:22:33,384,3734.115,3359.5194647519584,6h 24min
2022-01-03 12:39:33,2022-01-03 17:37:33,299,3731.564,3357.6493177257526,4h 59min
2022-01-03 21:27:33,2022-01-03 22:21:33,55,3021.563,3011.0172692307688,55min
2022-01-03 22:51:33,2022-01-04 01:44:33,174,3173.673,3100.3953793103456,2h 54min
2022-01-04 21:05:33,2022-01-04 23:38:33,154,3291.929,3171.9657857142856,2h 34min
2022-01-08 21:42:33,2022-01-09 03:05:33,324,3569.716,3326.2347314814815,5h 24min
2022-02-06 10:31:33,2022-02-06 16:09:33,339,3596.381,3344.435079646018,5h 39min
2022-02-06 19:06:33,2022-02-06 23:10:33,245,3485.313,3274.815295081967,4h 5min
2022-02-20 22:19:33,2022-02-21 00:47:33,149,3603.57,3337.8873355704695,2h 29min
2022-03-03 08:15:33,2022-03-03 08:16:33,2,3710.0,3703.855,2min
2022-04-25 16:10:33,2022-04-25 18:50:33,161,3369.376,3193.2068819875776,2h 41min
2022-05-19 11:03:33,2022-05-19 15:18:33,256,3717.188,3432.014897233201,4h 16min
2022-05-23 14:28:33,2022-05-23 17:58:33,211,3724.376,3339.003373205742,3h 31min
2022-06-23 23:38:33,2022-06-24 03:03:33,206,3678.465,3375.425873170732,3h 26min
2022-06-24 03:46:33,2022-06-24 05:03:33,78,3289.611,3162.941461538461,1h 18min
2022-06-30 15:17:33,2022-06-30 17:47:33,151,3490.183,3277.6668278145694,2h 31min
2022-09-05 21:34:22,2022-09-05 22:00:22,27,3096.459,3057.134592592592,27min
2022-09-05 22:19:22,2022-09-05 23:57:22,99,3289.611,3167.796656565657,1h 39min
2022-09-08 19:15:22,2022-09-08 21:50:22,156,3726.695,3416.751006410257,2h 36min
2022-10-01 02:02:22,2022-10-01 05:07:22,186,3502.24,3274.4128763440863,3h 6min
2022-10-24 18:14:22,2022-10-24 21:31:22,198,3726.695,3338.1568434343435,3h 18min
2022-11-16 22:56:22,2022-11-17 01:04:22,129,3337.841,3203.721674418605,2h 9min
2022-11-25 02:55:22,2022-11-25 03:24:22,30,3033.621,3019.6542333333327,30min
2022-12-20 13:29:22,2022-12-20 22:39:22,551,3412.736,3241.5569709618876,9h 11min
2022-12-22 04:43:22,2022-12-22 07:36:22,174,3279.872,3168.4026436781614,2h 54min
2022-12-23 11:30:22,2022-12-23 13:54:22,145,3589.193,3340.0474413793104,2h 25min
2022-12-24 02:08:22,2022-12-24 02:27:22,20,3086.72,3035.487894736842,20min
2022-12-25 11:17:22,2022-12-25 15:37:22,261,3738.984,3372.7360423076925,4h 21min
2022-12-25 20:23:22,2022-12-25 23:24:22,182,3316.276,3191.949236263736,3h 2min
2022-12-29 03:44:22,2022-12-29 04:53:22,70,3093.908,3063.5291857142856,1h 10min
2023-01-12 07:39:22,2023-01-12 10:46:22,188,3113.386,3070.2187087912084,3h 8min
2023-01-16 10:26:22,2023-01-17 00:07:22,822,3526.355,3266.4919744525546,13h 42min
2023-03-08 12:02:22,2023-03-08 15:06:22,185,3046.072,3022.3935454545453,3h 5min
2023-03-08 15:24:22,2023-03-08 17:12:22,109,3041.281,3020.002945054945,1h 49min
2023-03-08 17:35:22,2023-03-08 17:41:22,7,3000.903,3000.903,7min
2023-03-08 19:37:22,2023-03-09 01:21:22,345,3276.706,3123.9544521739126,5h 45min
2023-03-09 04:25:22,2023-03-09 05:28:22,64,3067.516,3037.310484375,1h 4min
2023-03-09 20:40:22,2023-03-09 23:47:22,188,3236.328,3140.743835106383,3h 8min
2023-03-14 09:55:22,2023-03-14 10:09:22,15,3053.144,3034.2094666666667,15min
2023-03-26 10:17:22,2023-03-26 15:15:22,299,3331.228,3184.906973244147,4h 59min
2023-03-26 17:18:22,2023-03-26 18:05:22,48,3024.628,3010.0351212121213,48min
2023-03-31 04:39:33,2023-03-31 07:02:33,144,3283.752,3196.083881944445,2h 24min
2023-04-01 01:43:33,2023-04-01 01:43:33,1,3001.328,3001.328,1min
2023-04-01 01:55:33,2023-04-01 03:08:33,74,3104.976,3062.937,1h 14min
2023-04-06 22:54:33,2023-04-06 23:01:33,8,3003.647,3003.0672499999996,8min
2023-05-09 13:24:33,2023-05-09 17:07:33,224,3356.329,3145.69545045045,3h 44min
2023-05-12 06:50:33,2023-05-12 10:42:33,233,3629.246,3368.7007639484978,3h 53min
2023-06-20 18:00:33,2023-06-20 21:56:33,237,3614.638,3355.0422278481014,3h 57min
2023-06-22 10:19:33,2023-06-22 14:49:33,271,3626.695,3475.112959409594,4h 31min
2023-06-22 15:01:33,2023-06-22 18:33:33,213,3626.695,3398.7423145539906,3h 33min
2023-07-08 13:44:33,2023-07-08 13:49:33,6,3032.631,3023.9127999999996,6min
2023-07-15 17:51:33,2023-07-15 19:40:33,110,3392.501,3222.3662,1h 50min
2023-07-23 18:43:33,2023-07-23 23:53:33,311,3624.376,3360.110537459283,5h 11min
2023-07-24 01:56:33,2023-07-24 07:47:33,352,3629.246,3391.777974431818,5h 52min
2023-07-27 08:23:33,2023-07-27 09:22:33,60,3083.412,3046.474183333333,1h 0min
2023-07-31 21:47:33,2023-08-01 00:53:33,187,3327.344,3153.934301075269,3h 7min
2023-08-05 20:25:33,2023-08-05 22:55:33,151,3411.747,3192.518493243243,2h 31min
2023-08-05 23:22:33,2023-08-05 23:23:33,2,3025.443,3021.733,2min
2023-08-06 00:10:33,2023-08-06 00:12:33,3,3044.689,3033.4816666666666,3min
2023-08-06 04:39:33,2023-08-06 07:13:33,155,3324.794,3194.318470967742,2h 35min
2023-08-08 20:10:33,2023-08-08 22:32:33,143,3312.736,3189.34075409836,2h 23min
2023-08-12 04:01:33,2023-08-12 07:30:33,210,3624.376,3341.6323333333335,3h 30min
2023-08-25 06:10:33,2023-08-25 10:02:33,233,3556.669,3338.38982832618,3h 53min
2023-08-25 11:21:33,2023-08-25 13:19:33,119,3407.109,3219.064672268908,1h 59min
2023-08-30 21:10:33,2023-08-30 23:05:33,116,3293.491,3164.87672173913,1h 56min
2023-09-01 07:24:33,2023-09-01 15:15:33,472,3626.695,3381.657778290993,7h 52min
2023-09-01 15:44:33,2023-09-01 16:01:33,18,3042.37,3022.6463125,18min
2023-09-21 13:11:33,2023-09-21 17:42:33,272,3626.695,3380.577524344569,4h 32min
2023-10-14 00:34:33,2023-10-14 02:18:33,105,3266.825,3170.2126571428576,1h 45min
2023-10-18 19:00:33,2023-10-18 21:14:33,135,3407.109,3235.714,2h 15min
2023-10-25 08:05:33,2023-10-25 11:17:33,193,3636.434,3341.3782590673572,3h 13min
2023-10-27 03:32:33,2023-10-27 04:09:33,38,3025.443,3013.6046666666666,38min
2023-10-30 19:30:33,2023-10-30 21:47:33,138,3317.606,3187.2347826086957,2h 18min
2023-11-01 02:22:33,2023-11-01 03:13:33,52,3073.673,3042.9319615384616,52min
2023-11-08 21:29:33,2023-11-09 02:06:33,278,3291.172,3125.6949100719426,4h 38min
2023-11-09 17:11:33,2023-11-09 19:09:33,119,3266.825,3152.617840336135,1h 59min
2023-11-10 18:40:33,2023-11-10 20:56:33,137,3387.632,3233.392744525547,2h 17min
2023-11-14 10:22:33,2023-11-14 19:54:33,573,3629.246,3351.5565061082025,9h 33min
2023-11-18 14:46:33,2023-11-18 16:32:33,107,3112.396,3066.9310857142855,1h 47min
2023-11-20 15:42:33,2023-11-20 19:15:33,214,3634.115,3384.1069342723004,3h 34min
2023-11-27 09:12:33,2023-11-27 17:55:33,524,3344.271,3247.820574427481,8h 44min
2023-12-05 07:18:33,2023-12-05 08:20:33,63,3054.427,3029.307777777777,1h 3min
2023-12-19 17:18:33,2023-12-19 22:32:33,315,3329.663,3153.837198717949,5h 15min
2023-12-21 15:11:33,2023-12-21 17:17:33,127,3443.282,3226.851244094488,2h 7min
2023-12-24 04:28:33,2023-12-24 09:14:33,287,3513.308,3325.7893776223777,4h 47min
2023-12-25 05:23:33,2023-12-25 10:05:33,283,3423.804,3259.921407801419,4h 43min
2023-12-25 16:19:33,2023-12-25 16:20:33,2,3013.386,3007.357,2min
2023-12-25 16:35:33,2023-12-25 18:27:33,113,3085.731,3053.670345132743,1h 53min
2023-12-29 13:04:33,2023-12-29 16:59:33,236,3332.214,3170.7649110169496,3h 56min
2024-01-01 01:39:33,2024-01-01 04:44:33,186,3440.731,3231.551360215054,3h 6min
2024-01-02 00:35:33,2024-01-02 21:27:33,1253,3638.984,3418.382796488427,20h 53min
2024-01-03 04:15:33,2024-01-03 09:32:33,318,3486.643,3208.1973225806455,5h 18min
2024-01-03 12:48:33,2024-01-03 14:47:33,120,3179.872,3102.8836166666665,2h 0min
2024-01-03 21:17:33,2024-01-04 02:48:33,332,3629.246,3312.7886536144583,5h 32min
2024-02-07 03:14:33,2024-02-07 13:27:33,614,3636.434,3435.100802610114,10h 14min
2024-02-08 12:52:33,2024-02-08 14:08:33,77,3047.007,3027.459921052632,1h 17min
2024-02-26 03:06:33,2024-02-26 07:10:33,245,3189.611,3124.0686,4h 5min
2024-03-11 06:52:33,2024-03-11 20:51:33,840,3303.229,3196.215938021454,14h 0min
2024-03-12 17:29:33,2024-03-12 23:02:33,334,3315.287,3177.910068965517,5h 34min
2024-03-13 00:33:33,2024-03-13 00:57:33,25,3047.007,3022.0424166666667,25min
2024-03-22 21:22:33,2024-03-23 01:35:33,254,3206.538,3123.143181818182,4h 14min
2024-04-04 06:10:33,2024-04-04 09:08:33,179,3491.512,3241.634865921788,2h 59min
2024-04-09 00:32:33,2024-04-09 03:14:33,163,3182.423,3120.669846625767,2h 43min
2024-04-15 15:18:33,2024-04-15 17:12:33,115,3119.584,3070.5156086956526,1h 55min
2024-04-30 23:23:33,2024-05-01 03:06:33,224,3419.167,3257.9102857142857,3h 44min
2024-05-03 02:24:33,2024-05-03 10:33:33,490,3525.366,3270.3657709611452,8h 10min
2024-05-06 13:54:33,2024-05-06 17:21:33,208,3626.695,3313.802033653846,3h 28min
2024-05-17 19:54:33,2024-05-18 00:04:33,251,3631.564,3359.6997250996014,4h 11min
2024-06-10 12:06:33,2024-06-10 13:39:33,94,3184.741,3102.2184574468088,1h 34min
2024-06-16 13:37:33,2024-06-16 15:49:33,133,3527.685,3285.8004436090223,2h 13min
2024-06-18 15:02:33,2024-06-18 22:24:33,443,3626.695,3330.0949819413095,7h 23min
2024-06-21 11:20:33,2024-06-21 13:24:33,125,3211.407,3129.21285483871,2h 5min
2024-07-09 14:33:33,2024-07-09 19:52:33,320,3619.507,3396.032283828383,5h 20min
2024-07-09 20:07:33,2024-07-09 20:09:33,3,3619.507,3597.015,3min
2024-07-09 20:35:33,2024-07-10 03:58:33,444,3626.695,3361.9184162895926,7h 24min
2024-07-12 04:41:33,2024-07-12 09:58:33,318,3631.564,3241.386611295681,5h 18min
